Journal,ISSN,eISSN,Category,IF,Quartile,Edition
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,ONCOLOGY,286.13,Q1,SCIE
LANCET,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",202.731,Q1,SCIE
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL",176.079,Q1,SCIE
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL",157.335,Q1,SCIE
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,CELL BIOLOGY,113.915,Q1,SCIE
NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,PHARMACOLOGY & PHARMACY,112.288,Q1,SCIE
NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784, BIOTECHNOLOGY & APPLIED MICROBIOLOGY,112.288,Q1,SCIE
NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741,IMMUNOLOGY,108.555,Q1,SCIE
Lancet Respiratory Medicine,2213-2600,,RESPIRATORY SYSTEM,102.642,Q1,SCIE
Lancet Respiratory Medicine,2213-2600,, CRITICAL CARE MEDICINE,102.642,Q1,SCIE
BMJ-British Medical Journal,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL",93.333,Q1,SCIE
NATURE MEDICINE,1078-8956,1546-170X,"MEDICINE, RESEARCH & EXPERIMENTAL",87.241,Q1,SCIE
NATURE MEDICINE,1078-8956,1546-170X, CELL BIOLOGY,87.241,Q1,SCIE
NATURE MEDICINE,1078-8956,1546-170X, BIOCHEMISTRY & MOLECULAR BIOLOGY,87.241,Q1,SCIE
Lancet Microbe,,2666-5247,INFECTIOUS DISEASES,86.208,Q1,SCIE
Lancet Microbe,,2666-5247, MICROBIOLOGY,86.208,Q1,SCIE
World Psychiatry,1723-8617,2051-5545,PSYCHIATRY,79.683,Q1,SCIE
World Psychiatry,1723-8617,2051-5545, PSYCHIATRY,79.683,Q1,SSCI
NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,MICROBIOLOGY,78.297,Q1,SCIE
Lancet Psychiatry,2215-0374,,PSYCHIATRY,77.056,Q1,SCIE
Lancet Psychiatry,2215-0374,, PSYCHIATRY,77.056,Q1,SSCI
Nature Reviews Materials,2058-8437,2058-8437,NANOSCIENCE & NANOTECHNOLOGY,76.679,Q1,SCIE
Nature Reviews Materials,2058-8437,2058-8437," MATERIALS SCIENCE, MULTIDISCIPLINARY",76.679,Q1,SCIE
Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,GASTROENTEROLOGY & HEPATOLOGY,73.082,Q1,SCIE
Lancet Public Health,2468-2667,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",72.427,Q1,SCIE
Lancet Public Health,2468-2667,2468-2667," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",72.427,Q1,SSCI
CHEMICAL REVIEWS,0009-2665,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY",72.087,Q1,SCIE
