Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
SOIL BIOLOGY & BIOCHEMISTRY,0038-0717,1879-3428,SOIL SCIENCE,9.7,Q1, 2/37 ,16.07%,SCIE
PLANT AND SOIL,0032-079X,1573-5036,SOIL SCIENCE,4.9,Q2, 10/37 ,19.34%,SCIE
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,1386-1425,1873-3557,SPECTROSCOPY,4.4,Q1, 5/41 ,2.60%,SCIE
JOURNAL OF APPLIED PHYSIOLOGY,8750-7587,1522-1601,SPORT SCIENCES,3.3,Q2, 24/87 ,6.93%,SCIE
MEDICINE & SCIENCE IN SPORTS & EXERCISE,0195-9131,1530-0315,SPORT SCIENCES,4.1,Q1, 14/87 ,11.46%,SCIE
AMERICAN JOURNAL OF SPORTS MEDICINE,0363-5465,1552-3365,SPORT SCIENCES,4.8,Q1, 10/87 ,4.15%,SCIE
Geoderma,0016-7061,1872-6259,SOIL SCIENCE,6.1,Q1, 8/37 ,16.69%,SCIE
BRITISH JOURNAL OF SPORTS MEDICINE,0306-3674,1473-0480,SPORT SCIENCES,18.4,Q1, 1/87 ,26.95%,SCIE
CATENA,0341-8162,1872-6887,SOIL SCIENCE,6.2,Q1, 7/37 ,6.20%,SCIE
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,0003-9993,1532-821X,SPORT SCIENCES,4.3,Q1, 13/87 ,8.13%,SCIE
SPORTS MEDICINE,0112-1642,1179-2035,SPORT SCIENCES,9.8,Q1, 3/87 ,37.63%,SCIE
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,1064-8011,1533-4287,SPORT SCIENCES,3.2,Q2, 28/87 ,1.19%,SCIE
SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,0361-5995,1435-0661,SOIL SCIENCE,2.9,Q3, 22/37 ,24.48%,SCIE
AMERICAN SOCIOLOGICAL REVIEW,0003-1224,1939-8271,SOCIOLOGY,9.1,Q1, 3/149 ,13.91%,SSCI
SOIL & TILLAGE RESEARCH,0167-1987,1879-3444,SOIL SCIENCE,6.5,Q1, 4/37 ,8.85%,SCIE
AMERICAN JOURNAL OF SOCIOLOGY,0002-9602,1537-5390,SOCIOLOGY,4.4,Q1, 13/149 ,0%,SSCI
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,0942-2056,1433-7347,SPORT SCIENCES,3.8,Q1, 17/87 ,22.60%,SCIE
Analytical Methods,1759-9660,1759-9679,SPECTROSCOPY,3.1,Q2, 12/41 ,5.10%,SCIE
ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722,SOCIOLOGY,13.2,Q1, 1/149 ,17.21%,SSCI
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,0749-8063,1526-3231,SPORT SCIENCES,4.7,Q1, 11/87 ,2.63%,SCIE
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,1439-6319,1439-6327,SPORT SCIENCES,3.0,Q2, 32/87 ,32.86%,SCIE
GAIT & POSTURE,0966-6362,1879-2219,SPORT SCIENCES,2.4,Q3, 45/87 ,12%,SCIE
JOURNAL OF SPORTS SCIENCES,0264-0414,1466-447X,SPORT SCIENCES,3.4,Q1, 20/87 ,14.67%,SCIE
APPLIED SOIL ECOLOGY,0929-1393,1873-0272,SOIL SCIENCE,4.8,Q2, 11/37 ,7.96%,SCIE
JOURNAL OF SHOULDER AND ELBOW SURGERY,1058-2746,1532-6500,SPORT SCIENCES,3.0,Q2, 32/87 ,5.22%,SCIE
SOCIAL INDICATORS RESEARCH,0303-8300,1573-0921,SOCIOLOGY,3.1,Q1, 32/149 ,29.97%,SSCI
Annual Review of Sociology,0360-0572,1545-2115,SOCIOLOGY,10.5,Q1, 2/149 ,1.15%,SSCI
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,0905-7188,1600-0838,SPORT SCIENCES,4.1,Q1, 14/87 ,27.04%,SCIE
JOURNAL OF MARRIAGE AND FAMILY,0022-2445,1741-3737,SOCIOLOGY,6.0,Q1, 6/149 ,22.30%,SSCI
JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,0022-4073,1879-1352,SPECTROSCOPY,2.3,Q2, 19/41 ,8.21%,SCIE
BIOLOGY AND FERTILITY OF SOILS,0178-2762,1432-0789,SOIL SCIENCE,6.5,Q1, 4/37 ,21.11%,SCIE
JOURNAL OF ORTHOPAEDIC TRAUMA,0890-5339,1531-2291,SPORT SCIENCES,2.3,Q3, 49/87 ,1.97%,SCIE
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,0022-1465,2150-6000,SOCIOLOGY,5.0,Q1, 9/149 ,8.18%,SSCI
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,0951-4198,1097-0231,SPECTROSCOPY,2.0,Q3, 22/41 ,14.07%,SCIE
JOURNAL OF RAMAN SPECTROSCOPY,0377-0486,1097-4555,SPECTROSCOPY,2.5,Q2, 16/41 ,12.75%,SCIE
LAND DEGRADATION & DEVELOPMENT,1085-3278,1099-145X,SOIL SCIENCE,4.7,Q2, 12/37 ,4.67%,SCIE
SOCIAL FORCES,0037-7732,1534-7605,SOCIOLOGY,4.8,Q1, 11/149 ,14.86%,SSCI
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,1044-0305,1879-1123,SPECTROSCOPY,3.2,Q1, 10/41 ,11.44%,SCIE
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,0267-9477,1364-5544,SPECTROSCOPY,3.4,Q1, 7/41 ,11.86%,SCIE
JOURNAL OF MAGNETIC RESONANCE,1090-7807,1096-0856,SPECTROSCOPY,2.2,Q3, 21/41 ,17.24%,SCIE
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,1440-2440,1878-1861,SPORT SCIENCES,4.0,Q1, 16/87 ,13.28%,SCIE
JOURNAL OF SOILS AND SEDIMENTS,1439-0108,1614-7480,SOIL SCIENCE,3.6,Q3, 20/37 ,10.83%,SCIE
CLINICAL BIOMECHANICS,0268-0033,1879-1271,SPORT SCIENCES,1.8,Q3, 65/87 ,8.45%,SCIE
INTERNATIONAL JOURNAL OF SPORTS MEDICINE,0172-4622,1439-3964,SPORT SCIENCES,2.5,Q2, 41/87 ,7.59%,SCIE
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,0190-6011,1938-1344,SPORT SCIENCES,6.1,Q1, 5/87 ,1.04%,SCIE
APPLIED SPECTROSCOPY,0003-7028,1943-3530,SPECTROSCOPY,3.5,Q1, 6/41 ,10.48%,SCIE
EUROPEAN JOURNAL OF SOIL SCIENCE,1351-0754,1365-2389,SOIL SCIENCE,4.2,Q2, 13/37 ,20.23%,SCIE
International Journal of Sports Physiology and Performance,1555-0265,1555-0273,SPORT SCIENCES,3.3,Q2, 24/87 ,0.60%,SCIE
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,0010-3624,1532-2416,SOIL SCIENCE,1.8,Q4, 30/37 ,1.30%,SCIE
SOCIOLOGICAL METHODS & RESEARCH,0049-1241,1552-8294,SOCIOLOGY,6.3,Q1, 5/149 ,15.87%,SSCI
Journal of Athletic Training,1062-6050,1938-162X,SPORT SCIENCES,3.3,Q2, 24/87 ,97.49%,SCIE
NMR IN BIOMEDICINE,0952-3480,1099-1492,SPECTROSCOPY,2.9,Q2, 14/41 ,24.96%,SCIE
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,1878-5476,SPORT SCIENCES,3.4,Q1, 20/87 ,14.70%,SCIE
SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,0584-8547,1873-3565,SPECTROSCOPY,3.3,Q1, 9/41 ,9.61%,SCIE
SYNTHESE,0039-7857,1573-0964,HISTORY & PHILOSOPHY OF SCIENCE,1.5,Q1, 13/62 ,36.94%,SCIE
SYNTHESE,0039-7857,1573-0964,HISTORY & PHILOSOPHY OF SCIENCE,1.5,Q2, 17/48 ,36.94%,SSCI
SOIL SCIENCE,0038-075X,1538-9243,SOIL SCIENCE,,, N/A ,,SCIE
Applied Physiology Nutrition and Metabolism,1715-5312,1715-5320,SPORT SCIENCES,3.4,Q1, 20/87 ,12.17%,SCIE
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,0894-9115,1537-7385,SPORT SCIENCES,3.0,Q2, 32/87 ,4.58%,SCIE
Orthopaedic Journal of Sports Medicine,,2325-9671,SPORT SCIENCES,2.6,Q2, 40/87 ,87.75%,SCIE
Information Communication & Society,1369-118X,1468-4462,SOCIOLOGY,4.2,Q1, 15/149 ,24.41%,SSCI
SOCIAL NETWORKS,0378-8733,1879-2111,SOCIOLOGY,3.1,Q1, 32/149 ,23.56%,SSCI
ETHNIC AND RACIAL STUDIES,0141-9870,1466-4356,SOCIOLOGY,2.5,Q2, 51/149 ,23.90%,SSCI
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,0038-0385,1469-8684,SOCIOLOGY,2.9,Q2, 39/149 ,49.62%,SSCI
GENDER & SOCIETY,0891-2432,1552-3977,SOCIOLOGY,5.5,Q1, 7/149 ,17.59%,SSCI
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,1387-3806,1873-2798,SPECTROSCOPY,1.8,Q3, 26/41 ,8.25%,SCIE
SOCIAL SCIENCE RESEARCH,0049-089X,1096-0317,SOCIOLOGY,2.5,Q2, 51/149 ,13.06%,SSCI
European Journal of Sport Science,1746-1391,1536-7290,SPORT SCIENCES,3.2,Q2, 28/87 ,13.98%,SCIE
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1050-6411,1873-5711,SPORT SCIENCES,2.5,Q2, 41/87 ,8.47%,SCIE
JOURNAL OF REHABILITATION MEDICINE,1650-1977,1651-2081,SPORT SCIENCES,3.5,Q1, 19/87 ,98.10%,SCIE
JOURNAL OF MOLECULAR SPECTROSCOPY,0022-2852,1096-083X,SPECTROSCOPY,1.4,Q3, 29/41 ,9.06%,SCIE
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,SPORT SCIENCES,2.1,Q3, 54/87 ,10.98%,SCIE
KNEE,0968-0160,1873-5800,SPORT SCIENCES,1.9,Q3, 61/87 ,5.60%,SCIE
SOCIAL PROBLEMS,0037-7791,1533-8533,SOCIOLOGY,3.2,Q1, 29/149 ,5%,SSCI
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,0368-2048,1873-2526,SPECTROSCOPY,1.9,Q3, 25/41 ,18.72%,SCIE
PEDOSPHERE,1002-0160,2210-5107,SOIL SCIENCE,5.7,Q1, 9/37 ,0%,SCIE
POPULATION AND DEVELOPMENT REVIEW,0098-7921,1728-4457,SOCIOLOGY,2.5,Q2, 51/149 ,25%,SSCI
CLAYS AND CLAY MINERALS,0009-8604,1552-8367,SOIL SCIENCE,2.2,Q4, 28/37 ,8.44%,SCIE
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730,1522-2624,SOIL SCIENCE,2.5,Q3, 24/37 ,44.55%,SCIE
VADOSE ZONE JOURNAL,,1539-1663,SOIL SCIENCE,2.8,Q3, 23/37 ,85.13%,SCIE
Journal of Soil Science and Plant Nutrition,0718-9508,0718-9516,SOIL SCIENCE,3.9,Q2, 16/37 ,6.73%,SCIE
JOURNAL OF CULTURAL HERITAGE,1296-2074,1778-3674,SPECTROSCOPY,3.1,Q2, 12/41 ,14.54%,SCIE
JOURNAL OF SOIL AND WATER CONSERVATION,0022-4561,1941-3300,SOIL SCIENCE,3.9,Q2, 16/37 ,1.52%,SCIE
SOCIOLOGY OF HEALTH & ILLNESS,0141-9889,1467-9566,SOCIOLOGY,2.9,Q2, 39/149 ,35.57%,SSCI
NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,1573-0867,SOIL SCIENCE,3.1,Q3, 21/37 ,25.57%,SCIE
SOCIAL SCIENCE QUARTERLY,0038-4941,1540-6237,SOCIOLOGY,1.9,Q3, 84/149 ,8.81%,SSCI
Qualitative Research,1468-7941,1741-3109,SOCIOLOGY,3.6,Q1, 22/149 ,36.92%,SSCI
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,0270-1367,2168-3824,SPORT SCIENCES,2.2,Q3, 52/87 ,4.14%,SCIE
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,0022-4707,1827-1928,SPORT SCIENCES,1.7,Q4, 68/87 ,0%,SCIE
PM&R,1934-1482,1934-1563,SPORT SCIENCES,2.1,Q3, 54/87 ,7.10%,SCIE
VIBRATIONAL SPECTROSCOPY,0924-2031,1873-3697,SPECTROSCOPY,2.5,Q2, 16/41 ,2.32%,SCIE
JOURNAL OF MASS SPECTROMETRY,1076-5174,1096-9888,SPECTROSCOPY,2.3,Q2, 19/41 ,8.70%,SCIE
EUROPEAN SOCIOLOGICAL REVIEW,0266-7215,1468-2672,SOCIOLOGY,3.2,Q1, 29/149 ,47.95%,SSCI
Journal of Sports Science and Medicine,1303-2968,1303-2968,SPORT SCIENCES,3.2,Q2, 28/87 ,63.33%,SCIE
International Journal of Intercultural Relations,0147-1767,1873-7552,SOCIOLOGY,2.8,Q2, 45/149 ,15.99%,SSCI
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,0895-2779,1543-2904,SPORT SCIENCES,2.4,Q3, 45/87 ,0.80%,SCIE
CLINICAL JOURNAL OF SPORT MEDICINE,1050-642X,1536-3724,SPORT SCIENCES,2.7,Q2, 39/87 ,2.96%,SCIE
SOIL SCIENCE AND PLANT NUTRITION,0038-0768,1747-0765,SOIL SCIENCE,2.0,Q4, 29/37 ,4.31%,SCIE
